Date,Close,bol_upp,bol_mid,bol_low,macd_line,macd_signal,macd_histogram,rsi_val,y,diff,1hot
2011-11-04,879.6,903.112,852.71,802.308,18.244,16.075,2.169,59.481,881.85,2.25,1.0
2011-11-08,881.85,902.533,856.73,810.927,18.184,16.496,1.687,60.468,864.55,-17.300000000000068,0.0
2011-11-09,864.55,902.399,858.562,814.726,16.549,16.507,0.042,49.728,883.85,19.300000000000068,1.0
2011-11-11,883.85,903.837,861.462,819.088,16.619,16.529,0.09,59.083,875.15,-8.700000000000045,0.0
2011-11-14,875.15,905.147,862.745,820.343,15.791,16.382,-0.591,53.869,862.7,-12.449999999999932,0.0
2011-11-15,862.7,905.276,863.537,821.799,13.969,15.899,-1.93,47.018,848.95,-13.75,0.0
2011-11-16,848.95,904.851,862.645,820.439,11.285,14.976,-3.691,40.46,810.65,-38.30000000000007,0.0
2011-11-17,810.65,908.021,861.517,815.014,5.999,13.181,-7.182,27.937,808.05,-2.6000000000000227,0.0
2011-11-18,808.05,909.91,860.92,811.93,1.581,10.861,-9.28,27.276,786.85,-21.199999999999932,0.0
2011-11-21,786.85,916.882,858.147,799.413,-3.589,7.971,-11.56,22.308,795.05,8.199999999999932,1.0
2011-11-22,795.05,920.679,855.98,791.281,-6.945,4.988,-11.933,28.148,773.75,-21.299999999999955,0.0
2011-11-23,773.75,926.927,852.897,778.868,-11.194,1.751,-12.945,22.972,774.2,0.4500000000000455,1.0
2011-11-24,774.2,931.272,849.295,767.318,-14.36,-1.471,-12.889,23.316,754.0,-20.200000000000045,0.0
2011-11-25,754.0,934.562,843.245,751.928,-18.288,-4.834,-13.453,18.939,783.0,29.0,1.0
2011-11-28,783.0,932.676,838.727,744.779,-18.843,-7.636,-11.207,38.168,765.0,-18.0,0.0
2011-11-29,765.0,927.182,832.077,736.973,-20.5,-10.209,-10.291,32.625,778.8,13.799999999999955,1.0
2011-11-30,778.8,922.525,827.13,731.735,-20.463,-12.26,-8.203,40.295,798.5,19.700000000000045,1.0
2011-12-01,798.5,918.88,824.027,729.175,-18.63,-13.534,-5.096,49.723,810.8,12.299999999999955,1.0
2011-12-02,810.8,913.308,820.995,728.682,-16.0,-14.027,-1.973,54.858,807.35,-3.449999999999932,0.0
2011-12-05,807.35,904.576,817.132,729.689,-14.032,-14.028,-0.004,53.103,809.2,1.8500000000000227,1.0
2011-12-07,809.2,895.989,813.612,731.236,-12.183,-13.659,1.476,54.013,779.2,-30.0,0.0
2011-12-08,779.2,885.578,808.48,731.382,-12.989,-13.525,0.536,39.621,755.45,-23.75,0.0
2011-12-09,755.45,878.847,803.025,727.203,-15.366,-13.893,-1.473,31.865,727.9,-27.550000000000068,0.0
2011-12-12,727.9,868.068,795.227,722.387,-19.252,-14.965,-4.287,25.249,742.6,14.700000000000045,1.0
2011-12-13,742.6,854.624,788.6,722.576,-20.904,-16.153,-4.751,33.721,741.7,-0.8999999999999773,0.0
